dt,min_psihat,neg_mass_psihat
0.002,-12116950.661177857,-0.18566780033258518
0.002,-4504771.734395185,-0.18065805046438005
0.002,-55792355.84315789,-0.18131129383472408
0.002,-3604615.2475075643,-0.17695626320174207
0.002,-24850550.31244814,-0.17502347877457325
0.002,-3602906.352903463,-0.1738645681212784
0.002,-5744843.339070449,-0.1707596987577666
0.002,-12583463.69485419,-0.17066776841066128
0.002,-15011176.06188006,-0.17507472812502894
0.002,-31880838.661860466,-0.18179725184654116
0.002,-21224173.98624461,-0.18145678078755417
0.002,-13888811.748877859,-0.1851717344616143
0.002,-65990435.10263876,-0.19384316201946383
0.002,-4283005.615538206,-0.1886702474694314
0.002,-25714030.5136982,-0.18985552746591983
0.002,-56514922.43131442,-0.19256579600429913
0.002,-18198446.281347454,-0.1916552888398186
0.002,-7825144.2872588225,-0.18798006112779878
0.002,-15217008.470291983,-0.18983219874953935
0.002,-10091985.278791025,-0.18777256321049274
0.002,-8461318.851704214,-0.186881255682169
0.002,-33482264.595216364,-0.18401075706032133
0.002,-19813957.997026954,-0.1884128175427448
0.002,-11280538.454961088,-0.19308083100349394
0.002,-12852420.778988168,-0.19070753899274773
0.002,-14601732.058749236,-0.18806208725744747
0.002,-42940882.24917683,-0.18494171270841636
0.002,-34058375.03042264,-0.1873369509879164
0.002,-11936340.40769241,-0.18445277404220756
0.002,-13990766.733099492,-0.18354010262300996
0.002,-9014798.721640935,-0.18226202231575656
0.002,-25586285.202312008,-0.1952910176473358
0.002,-9581129.793329855,-0.19172156991619788
0.002,-14139667.877203636,-0.19478303668606528
0.002,-24372736.7950361,-0.19740297111427207
0.002,-32017776.127021685,-0.20986889111436596
0.002,-9730882.11807596,-0.20671150911498803
0.002,-17169691.55220447,-0.21516123015628993
0.002,-11719145.770048512,-0.20977875586135736
0.002,-27838193.96325587,-0.2136540731731497
0.002,-8461696.948914638,-0.2140150329218286
0.002,-16196313.630137827,-0.21267075424958565
0.002,-20051256.97445804,-0.2105990455630362
0.002,-11037487.034503277,-0.2109065689206246
0.002,-42619399.53964889,-0.21660261466426955
0.002,-34743941.864811346,-0.22384553564211054
0.002,-15362131.157102711,-0.22435464522991633
0.002,-5975638.582331958,-0.21909667635542085
0.002,-2495950.0286805406,-0.21462647728510215
0.002,-18201903.183846343,-0.21465562188798692
0.002,-8730983.328891791,-0.21216753055479354
